SEQUENCEID	NumColumns	Rank	AssignedTax
PC1325364	152	gen	1386
PC221084	1	sp	279215
PC266862	11	gen	129337
PC66065	2	sp	492670
PC707552	2	gen	1386
PC1513719	3	sp	492670
PC181781	0	root	1
PC705214	6	gen	129337
PC568124	2	sp	161360
PC415131	4	gen	129337
PC1264106	2	sp	161360
PC1572160	2	gen	1372
PC125168	1	sp	192421
PC1106769	19	gen	129337
PC531970	2	sp	161360
PC1002372	8	gen	1386
PC1210290	1	sp	1326968
PC376377	117	gen	1386
PC296343	13	gen	129337
PC443471	1	sp	691437
PC1279000	2	sp	161360
PC1078078	1	sp	1474
PC658311	156	gen	1386
PC745149	1	sp	1373
PC468428	5	gen	129337
PC1498960	6	gen	129337
PC1021650	1	sp	1422
PC1023798	3	sp	192421
PC275825	3	gen	129337
PC1236376	2	sp	192421
PC781553	2	sp	161360
PC1311833	6	gen	129337
PC118642	2	gen	162291
PC1077660	1	sp	2116541
PC663881	5	gen	129337
PC524534	3	sp	192421
PC1510266	2	sp	161360
PC602554	2	sp	161360
PC168860	3	gen	129337
PC666779	2	sp	161360
PC536796	2	sp	161360
PC1554802	5	gen	129337
PC960848	1	sp	561879
PC967433	7	gen	129337
PC1146842	2	sp	161360
PC1172658	13	gen	129337
PC863134	2	sp	659243
PC641205	2	gen	1372
PC1335332	4	gen	129337
PC1130018	1	sp	1526927
PC493631	2	sp	161360
PC1198157	157	gen	1386
PC117422	2	sp	161360
PC1355043	4	gen	129337
PC946548	8	gen	129337
PC335523	1	sp	200991
PC638050	1	sp	213419
PC104122	1	sp	2058136
PC764304	17	gen	129337
PC193730	3	sp	192421
PC123098	156	gen	1386
PC734746	2	gen	1372
PC1418394	1	sp	1176648
PC206049	12	gen	129337
PC1119659	1	sp	1078085
PC99460	3	sp	192421
PC693288	187	sp	1890302
PC43123	2	sp	192421
PC454157	2	gen	1372
PC918430	3	gen	1372
PC222231	2	sp	161360
PC290480	157	gen	1386
PC872100	2	gen	1372
PC1465445	1	sp	2338393
PC950079	2	gen	1372
PC896598	151	gen	1386
PC957864	8	gen	129337
PC652388	1	sp	470864
PC222100	2	sp	33941
PC500517	2	sp	161360
PC427163	2	sp	161360
PC463924	2	gen	1372
PC587878	2	sp	161360
PC113648	157	gen	1386
PC1286401	2	sp	161360
PC312128	2	gen	1372
PC180810	157	gen	1386
PC415167	2	gen	1372
PC327332	155	gen	1386
PC1055877	2	sp	192421
PC590227	1	sp	1305675
PC91266	1	sp	2338393
PC310250	1	sp	135517
PC1348202	5	sp	492670
PC941314	1	sp	1422
PC567306	2	sp	492670
PC679249	109	gen	1386
PC323811	2	sp	192421
PC237485	1	sp	1763538
PC424645	1	sp	1763538
PC1242217	1	sp	1763538
PC428573	1	sp	1763538
PC1434616	1	sp	1763538
PC433567	1	sp	1763538
PC156648	2	sp	246432
PC1286925	34	sp	1292
PC122122	1	sp	1763538
PC1137922	1	sp	1736552
PC518270	1	sp	1667172
PC1292375	16	sp	1292
PC1525955	1	sp	1763538
PC1511602	28	sp	246432
PC935382	1	sp	1763538
PC432795	1	sp	1763538
PC269988	1	sp	307643
PC186	1	sp	1763538
PC1190711	1	sp	1763538
PC1367866	1	sp	1566358
PC996216	2	gen	44249
PC278065	1	sp	1566358
PC642470	1	sp	1763538
PC1558210	1	sp	253703
PC1057057	37	sp	246432
PC1038983	1	sp	1763538
PC41474	19	sp	1292
PC831130	36	sp	246432
PC257992	1	sp	1763538
PC1292345	1	sp	1566358
PC931951	1	sp	1763538
PC1142328	3	gen	1279
PC95676	2	gen	44249
PC602847	2	gen	1279
PC1025067	34	sp	246432
PC267625	3	sp	246432
PC1414586	1	sp	1763538
PC1464232	1	sp	1763538
PC206592	1	sp	1763538
PC614765	1	sp	2011011
PC321877	1	sp	1763538
PC1186501	1	sp	1763538
PC608296	1	sp	1763538
PC325684	1	sp	1763538
PC908555	1	sp	1763538
PC418756	37	sp	246432
PC927602	2	gen	44249
PC439350	33	sp	246432
PC988340	2	gen	44249
PC547781	1	sp	1850362
PC905663	23	sp	1292
PC89344	36	sp	246432
PC1043750	1	sp	948756
PC636006	1	sp	1763538
PC857938	33	sp	246432
PC902756	36	sp	246432
PC785535	5	sp	246432
PC126263	3	gen	44249
PC472986	3	gen	44249
PC566474	40	sp	246432
PC1029425	21	sp	246432
PC1150695	1	sp	1324314
PC903742	1	sp	1763538
PC1369397	3	gen	1279
PC1388677	1	sp	1763538
PC1088545	17	sp	1292
PC369960	2	gen	44249
PC1377666	1	sp	1763538
PC379347	33	sp	1292
PC849565	1	sp	1566358
PC397612	1	sp	1566358
PC1116799	1	sp	1566358
PC234639	1	sp	1763538
PC151144	31	sp	1292
PC1291179	15	sp	1292
PC1319434	3	gen	44249
PC633278	1	sp	1667172
PC256466	1	sp	1763538
PC1104592	1	sp	1763538
PC77512	1	sp	1763538
PC1153581	1	sp	1763538
PC418443	1	sp	1763538
PC1327369	2	gen	44249
PC956125	1	sp	1763538
PC632328	4	gen	1279
PC1528859	2	sp	669461
PC79184	9	sp	1292
PC360025	14	sp	1292
PC627337	36	sp	246432
PC1348219	1	sp	1763538
PC1026164	1	sp	1763538
PC1443820	28	sp	1292
PC950732	27	sp	246432
PC167700	1	sp	1763538
PC942231	1	sp	1763538
PC1401156	1	sp	1763538
PC420558	1	sp	1763538
PC551515	3	gen	44249
PC50662	2	gen	44249
PC24123	3	gen	44249
PC1169095	1	sp	1763538
PC798728	1	sp	1566358
PC1477142	25	sp	1292
PC1328160	25	sp	1292
PC831451	1	sp	1763538
PC281574	40	sp	246432
PC1027937	34	sp	246432
PC526800	1	sp	1763538
PC1144145	1	sp	1763538
PC1165441	1	sp	1566358
PC599548	2	sp	1292
PC711310	1	sp	1763538
PC142788	1	sp	1292
PC396564	34	sp	1292
PC854619	1	sp	1763538
PC1551785	20	sp	1292
PC605276	1	sp	1763538
PC720866	1	sp	1763538
PC249932	35	sp	246432
PC661586	21	sp	1292
PC1375227	1	sp	1763538
PC871465	3	gen	44249
PC624720	1	sp	1763538
PC391268	1	sp	471825
PC499491	5	gen	1279
PC1277270	1	sp	1763538
PC713646	1	sp	1763538
PC631062	2	gen	44249
PC77937	3	sp	1292
PC567392	1	sp	1324314
PC937905	1	sp	1566358
PC674485	1	sp	1763538
PC1231249	1	sp	1763538
PC527153	1	sp	1763538
PC776461	1	sp	1763538
PC1488188	4	gen	1279
PC863127	2	gen	44249
PC1338774	36	sp	246432
PC1403432	34	sp	246432
PC212233	1	sp	1763538
PC400831	20	sp	1292
PC37611	2	gen	44249
PC749382	2	gen	44249
PC210043	1	sp	1763538
PC1309802	1	sp	494026
PC293533	1	sp	1763538
PC66740	1	sp	1763538
PC1497486	1	sp	1763538
PC1511735	1	sp	1763538
PC128175	3	sp	246432
PC1490968	2	sp	246432
PC151703	1	sp	307643
PC1340564	1	sp	1763538
PC777694	5	sp	1292
PC1440676	1	sp	1763538
PC696712	1	sp	1763538
PC725431	17	sp	1292
PC1062007	2	gen	44249
PC1141336	43	sp	1282
PC392215	1	sp	1763538
PC793815	2	gen	44249
PC188485	1	sp	1763538
PC182673	1	sp	1763538
PC1273275	1	sp	1566358
PC748089	28	sp	1292
PC1249962	1	sp	1763538
PC564762	1	sp	1763538
PC406372	1	sp	253703
PC1442790	2	gen	44249
PC699431	35	sp	246432
PC1521649	34	sp	1292
PC436977	2	sp	1292
PC119781	1	sp	1763538
PC960982	1	sp	1566358
PC1203594	1	sp	1763538
PC424681	2	sp	669461
PC1143799	1	sp	1763538
PC98244	1	sp	1763538
PC889383	1	sp	1763538
PC1359780	1	sp	1763538
PC46404	1	sp	253703
PC251341	3	gen	44249
PC1163642	2	gen	44249
PC1524880	1	sp	1763538
PC674898	1	sp	1763538
PC1363475	2	gen	44249
PC1070976	6	sp	246432
PC1328512	1	sp	1763538
PC612897	1	sp	1763538
PC330343	1	sp	1667172
PC542820	1	sp	1763538
PC1319903	1	sp	1763538
PC612538	3	gen	44249
PC511095	1	sp	1763538
PC718944	2	sp	1292
PC1207988	1	sp	1763538
PC488345	1	sp	1763538
PC626721	6	sp	246432
PC848781	34	sp	246432
PC1073827	2	sp	29388
PC1435439	3	gen	44249
PC153798	1	sp	1763538
PC251587	2	gen	44249
PC1311266	1	sp	1763538
PC876620	18	sp	246432
PC547670	1	sp	1763538
PC1016153	1	sp	1566358
PC652648	1	sp	1763538
PC1402005	1	sp	1763538
PC400703	3	gen	44249
PC1401094	1	sp	1763538
PC1413092	1	sp	1566358
PC685758	1	sp	1763538
PC1065210	1	sp	1763538
PC980360	1	sp	1763538
PC333133	1	sp	1763538
PC218938	1	sp	392015
PC87844	2	gen	44249
PC881446	1	sp	38986
PC1487707	1	sp	1667172
PC1210198	1	sp	1566358
PC1204250	4	gen	44249
PC1459720	36	sp	246432
PC328394	4	sp	246432
PC1252178	1	sp	253703
PC278247	2	sp	1292
PC981182	2	gen	44249
PC607215	1	sp	1850362
PC1213464	1	sp	1566358
PC216491	37	sp	246432
PC1243751	23	sp	1292
PC1175862	1	sp	1763538
PC568793	3	gen	44249
PC1085613	3	gen	44249
PC447731	2	gen	33882
PC1185534	2	sp	1276
PC495922	1	sp	131112
PC1049728	1	sp	912630
PC793591	5	sp	1274
PC160139	1	sp	1855377
PC672634	1	sp	1479651
PC1332638	1	sp	131112
PC251883	1	sp	1479651
PC838207	1	sp	1855377
PC1526414	1	sp	1479651
PC944503	1	sp	1479651
PC197018	32	sp	1270
PC473839	1	sp	1855377
PC207830	8	gen	33882
PC1156158	2	sp	1276
PC673404	2	gen	33882
PC31684	6	sp	72000
PC1409169	0	root	1
PC1221830	6	gen	57495
PC1010775	2	gen	33882
PC1414598	1	sp	1479651
PC527378	2	sp	1276
PC729169	4	gen	1883
PC1534025	1	sp	188626
PC106819	1	sp	123320
PC1573047	2	sp	1276
PC809917	2	gen	33882
PC310321	2	sp	1276
PC339224	3	gen	57495
PC1145299	7	sp	1270
PC1577241	2	sp	1276
PC471758	6	gen	57495
PC729217	1	sp	131112
PC957861	1	sp	1479651
PC270793	1	sp	1855377
PC1421705	1	sp	131112
PC210760	1	sp	1112215
PC1512531	1	sp	1479651
PC337514	3	gen	57493
