parentID	contigID
G000688415	G000688415.part_NZ_JIAH01000007.1
G001769705	G001769705.part_MEPF01000015.1
G001769705	G001769705.part_MEPF01000050.1
G000745975	G000745975.part_NZ_JQKJ01000016.1
G900101965	G900101965.part_FNAP01000007.1
G900115845	G900115845.part_NZ_FOXX01000004.1
G000377645	G000377645.part_NZ_KB898476.1
G900113925	G900113925.part_FORD01000009.1
G000282595	G000282595.part_NZ_AKIZ01000014.1
G900104395	G900104395.part_NZ_FMXX01000006.1
G000430585	G000430585.part_NZ_AUMH01000009.1
G000300855	G000300855.part_NZ_ALJF01000009.1
G001074355	G001074355.part_NZ_JUTO01000050.1
G900130035	G900130035.part_NZ_FQXQ01000006.1
G000477955	G000477955.part_NZ_KI515718.1
G900114835	G900114835.part_FOUJ01000001.1
G000422425	G000422425.part_NZ_AULT01000008.1
G001617605	G001617605.part_NZ_CP014806.1
G001315985	G001315985.part_BBBI01000007.1
G001812395	G001812395.part_NZ_KV808735.1
G000717335	G000717335.part_NZ_JNYZ01000017.1
G000241345	G000241345.part_NZ_BAED01000046.1
G001894865	G001894865.part_NZ_BCXA01000032.1
G000241345	G000241345.part_NZ_BAED01000003.1
G000429305	G000429305.part_NZ_AUBP01000002.1
G000300115	G000300115.part_NZ_JH930364.1
G001676225	G001676225.part_NZ_LZEY01000005.1
G001484985	G001484985.part_NZ_BCLZ01000019.1
G000714715	G000714715.part_NZ_JMFO01000002.1
G900106765	G900106765.part_FNNG01000001.1
G001995095	G001995095.part_NZ_MTSD02000001.1
G000768695	G000768695.part_NZ_AVPL01000002.1
G900107575	G900107575.part_FNQX01000011.1
G000292245	G000292245.part_NZ_ALPT02000001.1
G000970775	G000970775.part_NZ_KQ034022.1
G000282595	G000282595.part_NZ_AKIZ01000030.1
G002006995	G002006995.part_NZ_MRUL01000008.1
G000429045	G000429045.part_NZ_AUBC01000014.1
G001708975	G001708975.part_NZ_LVJZ01000005.1
G001427385	G001427385.part_NZ_LMGJ01000033.1
G000455825	G000455825.part_NZ_ATAO01000002.1
G001794055	G001794055.part_MGJB01000017.1
G001632145	G001632145.part_NZ_LVHS01000027.1
G001594145	G001594145.part_LVCF01000046.1
G001820095	G001820095.part_MHOO01000011.1
G000829435	G000829435.part_NZ_JXRP01000017.1
G900101015	G900101015.part_FNFZ01000018.1
G000484595	G000484595.part_NZ_AXVE01000006.1
G001562125	G001562125.part_NZ_CP013932.1
G000519205	G000519205.part_NZ_JAFB01000028.1
G000173655	G000173655.part_NZ_ABZU01000010.1
G000797445	G000797445.part_NZ_JSWF01000019.1
G000220235	G000220235.part_NZ_GL982464.1
G000518105	G000518105.part_NZ_JACY01000009.1
G900113925	G900113925.part_FORD01000010.1
G000686845	G000686845.part_NZ_JMLS01000005.1
G001508335	G001508335.part_LGFX01000002.1
G000797445	G000797445.part_NZ_JSWF01000024.1
G000519205	G000519205.part_NZ_JAFB01000015.1
G000336915	G000336915.part_NZ_AOMD01000015.1
G000300855	G000300855.part_NZ_ALJF01000010.1
G001582555	G001582555.part_NZ_LBAG01000004.1
G000225525	G000225525.part_NZ_AGBF01000003.1
G900129845	G900129845.part_NZ_FQXB01000002.1
G001438805	G001438805.part_NZ_JQCF01000007.1
G000993015	G000993015.part_LBVI01000001.1
G000430585	G000430585.part_NZ_AUMH01000010.1
G900112935	G900112935.part_FONM01000006.1
G001708185	G001708185.part_NZ_MDDN01000009.1
G000445105	G000445105.part_NZ_ATDP01000082.1
G000424365	G000424365.part_NZ_AUJT01000001.1
G001298265	G001298265.part_NZ_LGSZ01000032.1
G000300115	G000300115.part_NZ_JH930359.1
G000437335	G000437335.part_FR897772.1
G000423645	G000423645.part_NZ_AUIJ01000003.1
G001458075	G001458075.part_NZ_LN899469.1
G000741765	G000741765.part_NZ_JGZU01000007.1
G000990275	G000990275.part_LBPQ01000002.1
G000423405	G000423405.part_NZ_AUHX01000011.1
G000436435	G000436435.part_FR885845.1
G000450985	G000450985.part_NZ_AVMC01000007.1
G000161935	G000161935.part_NZ_GG698805.1
G000179775	G000179775.part_NZ_AEEB01000026.1
G900089455	G900089455.part_NZ_FLRC01000052.1
G001308105	G001308105.part_NZ_CP012851.1
G000225525	G000225525.part_NZ_AGBF01000001.1
G001438805	G001438805.part_NZ_JQCF01000005.1
G000993015	G000993015.part_LBVI01000003.1
G000430585	G000430585.part_NZ_AUMH01000012.1
G001790445	G001790445.part_MGCQ01000007.1
G900112935	G900112935.part_FONM01000004.1
G900129715	G900129715.part_NZ_FQWP01000008.1
G000519205	G000519205.part_NZ_KI912601.1
G001431485	G001431485.part_NZ_LDJM01000018.1
G001582555	G001582555.part_NZ_LBAG01000006.1
G000426565	G000426565.part_NZ_AUFP01000008.1
G001424905	G001424905.part_NZ_LMCU01000002.1
G900115215	G900115215.part_FOVQ01000010.1
G000318295	G000318295.part_NZ_KB291378.1
G001025035	G001025035.part_NZ_LCZK01000009.1
G000319385	G000319385.part_NC_019566.1
G000337675	G000337675.part_NZ_AOIB01000020.1
G001005215	G001005215.part_NZ_LBNQ01000040.1
G001772335	G001772335.part_METM01000007.1
G000717335	G000717335.part_NZ_JNYZ01000028.1
G000423645	G000423645.part_NZ_AUIJ01000001.1
G000192965	G000192965.part_AERG01000048.1
G000430745	G000430745.part_NZ_KE387234.1
G900089075	G900089075.part_NZ_LT593746.1
G000620645	G000620645.part_NZ_JIAV01000019.1
G000934435	G000934435.part_NZ_JXIJ01000014.1
G000437335	G000437335.part_FR897770.1
G000684975	G000684975.part_NZ_BAXZ01000002.1
G000424365	G000424365.part_NZ_AUJT01000003.1
G000153405	G000153405.part_NC_020802.1
G000219045	G000219045.part_NC_015696.1
G000300115	G000300115.part_NZ_JH930366.1
G001676225	G001676225.part_NZ_LZEY01000007.1
G001298265	G001298265.part_NZ_LGSZ01000048.1
G000487995	G000487995.part_NZ_KI530588.1
G900106765	G900106765.part_FNNG01000003.1
G000245075	G000245075.part_NZ_JH599999.1
G001767605	G001767605.part_MELM01000016.1
G001995095	G001995095.part_NZ_MTSD02000003.1
G001894865	G001894865.part_NZ_BCXA01000030.1
G000192925	G000192925.part_NZ_AERE01000011.1
G001315985	G001315985.part_BBBI01000005.1
G000702885	G000702885.part_NZ_JNKO01000008.1
G000382245	G000382245.part_NZ_KB907863.1
G000717335	G000717335.part_NZ_JNYZ01000015.1
G001424585	G001424585.part_NZ_LMPJ01000011.1
G000382125	G000382125.part_NZ_KB907555.1
G001422605	G001422605.part_NZ_LMLK01000002.1
G000224335	G000224335.part_NZ_AFXZ01000013.1
G900114835	G900114835.part_FOUJ01000003.1
G000484595	G000484595.part_NZ_AXVE01000004.1
G000424205	G000424205.part_NZ_AUJL01000002.1
G000337475	G000337475.part_NZ_AOIT01000035.1
G001774495	G001774495.part_MFAE01000002.1
G001649505	G001649505.part_NZ_LVYG01000018.1
G000007845	G000007845.part_NC_003997.3
G000433035	G000433035.part_FR890812.1
G001632145	G001632145.part_NZ_LVHS01000025.1
G001822765	G001822765.part_MHSO01000007.1
G000425585	G000425585.part_NZ_AUDS01000019.1
G001594145	G001594145.part_LVCF01000001.1
G000292245	G000292245.part_NZ_ALPT02000003.1
G000970775	G000970775.part_NZ_KQ034020.1
G000429045	G000429045.part_NZ_AUBC01000016.1
G000768875	G000768875.part_NZ_JRAO01000003.1
G000186205	G000186205.part_NZ_AENR01000012.1
G900107575	G900107575.part_FNQX01000013.1
G001431485	G001431485.part_NZ_LDJM01000025.1
G001469895	G001469895.part_NZ_LOPY01000009.1
G000195275	G000195275.part_NC_015385.1
G001422605	G001422605.part_NZ_LMLK01000026.1
G001795545	G001795545.part_MGPM01000008.1
G000429305	G000429305.part_NZ_KE386880.1
G000455825	G000455825.part_NZ_ATAO01000181.1
G000688415	G000688415.part_NZ_JIAH01000005.1
G000450985	G000450985.part_NZ_AVMC01000059.1
G001553285	G001553285.part_NZ_KQ960687.1
G000717335	G000717335.part_NZ_JNYZ01000031.1
G900116115	G900116115.part_FOZP01000004.1
G001708185	G001708185.part_NZ_MDDN01000012.1
G000429305	G000429305.part_NZ_AUBP01000024.1
G001830015	G001830015.part_MICX01000005.1
G001676225	G001676225.part_NZ_LZEY01000023.1
G000767275	G000767275.part_NZ_CP014334.1
G001280515	G001280515.part_NZ_LBIQ01000018.1
G000436215	G000436215.part_FR884990.1
G000768875	G000768875.part_NZ_JRAO01000027.1
G000382085	G000382085.part_NZ_KB907521.1
G900130035	G900130035.part_NZ_FQXQ01000004.1
G000591415	G000591415.part_NZ_JEMF01000016.1
G000525955	G000525955.part_NZ_AODJ01000004.1
G000429865	G000429865.part_NZ_AUCR01000001.1
G900129715	G900129715.part_NZ_FQWP01000011.1
G000282595	G000282595.part_NZ_AKIZ01000016.1
G001562155	G001562155.part_CP013933.1
G900104395	G900104395.part_NZ_FMXX01000004.1
G000455825	G000455825.part_NZ_ATAO01000024.1
G000712035	G000712035.part_NZ_JONV01000006.1
G001594145	G001594145.part_LVCF01000025.1
G900115845	G900115845.part_NZ_FOXX01000006.1
G000377645	G000377645.part_NZ_KB898474.1
G001830805	G001830805.part_MICH01000015.1
G001769705	G001769705.part_MEPF01000052.1
G001898495	G001898495.part_MKUA01000016.1
G001025035	G001025035.part_NZ_LCZK01000010.1
G000745975	G000745975.part_NZ_JQKJ01000014.1
G900101965	G900101965.part_FNAP01000005.1
G000379665	G000379665.part_NZ_KB903359.1
G000318295	G000318295.part_NZ_KB291361.1
G900115215	G900115215.part_FOVQ01000009.1
G900115085	G900115085.part_FOVF01000005.1
G900107845	G900107845.part_FNRM01000003.1
G900101015	G900101015.part_FNFZ01000003.1
G000686845	G000686845.part_NZ_JMLS01000023.1
G001649505	G001649505.part_NZ_LVYG01000001.1
G000382265	G000382265.part_NZ_KB907976.1
G000519205	G000519205.part_NZ_JAFB01000033.1
G000445105	G000445105.part_NZ_ATDP01000101.1
G000336915	G000336915.part_NZ_AOMD01000033.1
G001469845	G001469845.part_NZ_LNOS01000014.1
G900100715	G900100715.part_FNCA01000002.1
G001424305	G001424305.part_NZ_LMPD01000001.1
G000336655	G000336655.part_NZ_AOLZ01000031.1
G002007645	G002007645.part_CP019791.1
G000786005	G000786005.part_JPIH02000004.1
G001313205	G001313205.part_BBFK01000002.1
G900094975	G900094975.part_NZ_FMAU01000006.1
G002006995	G002006995.part_NZ_MRUL01000013.1
G000724145	G000724145.part_JNVL01000005.1
G001280505	G001280505.part_NZ_LBIO01000057.1
G001894865	G001894865.part_NZ_BCXA01000029.1
G001312505	G001312505.part_NZ_BBDW01000007.1
G000376445	G000376445.part_NZ_AQXI01000001.1
G001570425	G001570425.part_NZ_BCSX01000053.1
G000487995	G000487995.part_NZ_KI530591.1
G000508965	G000508965.part_NZ_BAHV02000006.1
G001499755	G001499755.part_NZ_CVIV01000052.1
G000092565	G000092565.part_NC_004342.2
G002007565	G002007565.part_NZ_CP015625.1
G000405625	G000405625.part_ASOV01000001.1
G000702885	G000702885.part_NZ_JNKO01000011.1
G000751675	G000751675.part_NZ_CCFF01000016.1
G001424585	G001424585.part_NZ_LMPJ01000008.1
G900112605	G900112605.part_FOMJ01000008.1
G000307245	G000307245.part_NZ_DF158876.1
G000497755	G000497755.part_NZ_AYOD01000014.1
G900115845	G900115845.part_NZ_FOXX01000002.1
G900110905	G900110905.part_FOFH01000010.1
G001830805	G001830805.part_MICH01000011.1
G001005215	G001005215.part_NZ_LBNQ01000018.1
G001012675	G001012675.part_NZ_AZRC01000013.1
G001898495	G001898495.part_MKUA01000012.1
G000686845	G000686845.part_NZ_KK366024.1
G000745975	G000745975.part_NZ_JQKJ01000010.1
G900101965	G900101965.part_FNAP01000001.1
G001429705	G001429705.part_NZ_LMSV01000002.1
G000979995	G000979995.part_NZ_JJQN01000126.1
G001720395	G001720395.part_NZ_MDTU01000001.1
G000697965	G000697965.part_NZ_CP015881.1
G001830015	G001830015.part_MICX01000001.1
G000429305	G000429305.part_NZ_AUBP01000020.1
G000429305	G000429305.part_NZ_KE386879.1
G000425585	G000425585.part_NZ_KE384400.1
G000196275	G000196275.part_NC_009939.1
G001422605	G001422605.part_NZ_LMLK01000022.1
G000492175	G000492175.part_NZ_KI535318.1
G000430745	G000430745.part_NZ_KE387229.1
G001298265	G001298265.part_NZ_LGSZ01000095.1
G000312545	G000312545.part_NZ_HE997541.1
G001553285	G001553285.part_NZ_KQ960683.1
G900089455	G900089455.part_NZ_FLRC01000008.1
G000508965	G000508965.part_NZ_BAHV02000002.1
G001499755	G001499755.part_NZ_CVIV01000056.1
G000445145	G000445145.part_NZ_ATIB01000079.1
G000576595	G000576595.part_NZ_AWSA01000013.1
G000245075	G000245075.part_NZ_JH600053.1
G000286115	G000286115.part_NZ_ALAD01000008.1
G000214595	G000214595.part_NZ_AFIG01000001.1
G000751675	G000751675.part_NZ_CCFF01000012.1
G000179775	G000179775.part_NZ_AEEB01000004.1
G001625015	G001625015.part_NZ_LVWJ02000012.1
G000382125	G000382125.part_NZ_KB907548.1
G000717335	G000717335.part_NZ_JNYZ01000008.1
G000599865	G000599865.part_NZ_JHAC01000093.1
G000717475	G000717475.part_NZ_JPIK01000004.1
G000241345	G000241345.part_NZ_BAED01000059.1
G000011185	G000011185.part_NC_002689.2
G001403775	G001403775.part_NZ_CYUG01000011.1
G000376445	G000376445.part_NZ_AQXI01000005.1
G001312505	G001312505.part_NZ_BBDW01000003.1
G001624625	G001624625.part_NZ_LQXX01000004.1
G001298265	G001298265.part_NZ_LGSZ01000010.1
G900102125	G900102125.part_FNAZ01000012.1
G000684975	G000684975.part_NZ_BAXZ01000022.1
G001484985	G001484985.part_NZ_BCLZ01000006.1
G900100715	G900100715.part_FNCA01000006.1
G001424305	G001424305.part_NZ_LMPD01000005.1
G001784285	G001784285.part_MFQC01000008.1
G000382085	G000382085.part_NZ_KB907518.1
G001313205	G001313205.part_BBFK01000006.1
G000377885	G000377885.part_NZ_KB898767.1
G900094975	G900094975.part_NZ_FMAU01000002.1
G000519205	G000519205.part_NZ_KI912598.1
G001190755	G001190755.part_NZ_CP012195.1
G900115085	G900115085.part_FOVF01000001.1
G900107845	G900107845.part_FNRM01000007.1
G000511875	G000511875.part_NZ_AZIN01000004.1
G001005215	G001005215.part_NZ_LBNQ01000025.1
G000230555	G000230555.part_NC_016078.1
G000482805	G000482805.part_NZ_KI519503.1
G900101015	G900101015.part_FNFZ01000007.1
G000686845	G000686845.part_NZ_JMLS01000027.1
G001649505	G001649505.part_NZ_LVYG01000005.1
G000379665	G000379665.part_NZ_KB903360.1
G001049895	G001049895.part_NZ_CVPE01000004.1
G001779925	G001779925.part_MFEK01000016.1
G000437335	G000437335.part_FR897774.1
G000684975	G000684975.part_NZ_BAXZ01000006.1
G000424365	G000424365.part_NZ_AUJT01000007.1
G000348805	G000348805.part_NC_020510.1
G000179775	G000179775.part_NZ_AEEB01000020.1
G000161935	G000161935.part_NZ_GG698803.1
G900089455	G900089455.part_NZ_FLRC01000054.1
G000241345	G000241345.part_NZ_BAED01000080.1
G000990965	G000990965.part_LBQT01000004.1
G900089455	G900089455.part_NZ_FLRC01000011.1
G000717475	G000717475.part_NZ_JPIK01000020.1
G001001285	G001001285.part_LCKG01000001.1
G000423645	G000423645.part_NZ_AUIJ01000005.1
G001469895	G001469895.part_NZ_LOPY01000051.1
G000430745	G000430745.part_NZ_KE387230.1
G000482805	G000482805.part_NZ_AXWT01000016.1
G001263205	G001263205.part_CP012333.1
G001316245	G001316245.part_NZ_BBDM01000008.1
G001649505	G001649505.part_NZ_LVYG01000021.1
G000319245	G000319245.part_NC_019814.1
G001508335	G001508335.part_LGFX01000004.1
G000337475	G000337475.part_NZ_AOIT01000049.1
G000719275	G000719275.part_NZ_JOFP01000012.1
G000519205	G000519205.part_NZ_JAFB01000013.1
G000745975	G000745975.part_NZ_JQKJ01000009.1
G001717035	G001717035.part_MAGT01000006.1
G001469845	G001469845.part_NZ_LNOS01000034.1
G001594145	G001594145.part_LVCF01000038.1
G000425585	G000425585.part_NZ_AUDS01000020.1
G001830805	G001830805.part_MICH01000008.1
G900110905	G900110905.part_FOFH01000009.1
G000686845	G000686845.part_NZ_JMLS01000003.1
G000225525	G000225525.part_NZ_AGBF01000005.1
G000970775	G000970775.part_NZ_KQ034019.1
G000689195	G000689195.part_NZ_AZRA01000039.1
G002003465	G002003465.part_NZ_BDDQ01000013.1
G900129845	G900129845.part_NZ_FQXB01000004.1
G001438805	G001438805.part_NZ_JQCF01000001.1
G000300855	G000300855.part_NZ_ALJF01000016.1
G000429045	G000429045.part_NZ_AUBC01000012.1
G001708975	G001708975.part_NZ_LVJZ01000003.1
G001427385	G001427385.part_NZ_LMGJ01000035.1
G000934435	G000934435.part_NZ_JXIJ01000130.1
G000768695	G000768695.part_NZ_AVPL01000004.1
G000231275	G000231275.part_NZ_JH370372.1
G001431485	G001431485.part_NZ_LDJM01000021.1
G001784285	G001784285.part_MFQC01000011.1
G000424205	G000424205.part_NZ_AUJL01000006.1
G000147675	G000147675.part_NZ_ADGQ01000071.1
G001774495	G001774495.part_MFAE01000006.1
G001420915	G001420915.part_NZ_CP013021.1
G001594145	G001594145.part_LVCF01000040.1
G000248095	G000248095.part_NZ_CP011014.1
G001315985	G001315985.part_BBBI01000001.1
G000382245	G000382245.part_NZ_KB907867.1
G000717335	G000717335.part_NZ_JNYZ01000011.1
G000382125	G000382125.part_NZ_KB907551.1
G001422605	G001422605.part_NZ_LMLK01000006.1
G000297775	G000297775.part_NZ_JH815516.1
G000526315	G000526315.part_NZ_JAFV01000001.1
G900114835	G900114835.part_FOUJ01000007.1
G000286115	G000286115.part_NZ_ALAD01000011.1
G000300115	G000300115.part_NZ_JH930362.1
G001676225	G001676225.part_NZ_LZEY01000003.1
G001298265	G001298265.part_NZ_LGSZ01000009.1
G900106765	G900106765.part_FNNG01000007.1
G000714715	G000714715.part_NZ_JMFO01000004.1
G001995095	G001995095.part_NZ_MTSD02000007.1
G001767605	G001767605.part_MELM01000012.1
G000620645	G000620645.part_NZ_JIAV01000020.1
G000599865	G000599865.part_NZ_JHAC01000032.1
G000241345	G000241345.part_NZ_BAED01000040.1
G000433035	G000433035.part_FR890814.1
G001632145	G001632145.part_NZ_LVHS01000023.1
G001594145	G001594145.part_LVCF01000042.1
G001594145	G001594145.part_LVCF01000007.1
G000829435	G000829435.part_NZ_JXRP01000013.1
G000484595	G000484595.part_NZ_AXVE01000002.1
G000017045	G000017045.part_NC_009698.1
G000768695	G000768695.part_NZ_AVPL01000006.1
G000970775	G000970775.part_NZ_KQ034026.1
G000429045	G000429045.part_NZ_AUBC01000010.1
G001427385	G001427385.part_NZ_LMGJ01000037.1
G000429305	G000429305.part_NZ_AUBP01000006.1
G000300115	G000300115.part_NZ_JH930360.1
G001676225	G001676225.part_NZ_LZEY01000001.1
G000018785	G000018785.part_NC_010163.1
G900102125	G900102125.part_FNAZ01000009.1
G000714715	G000714715.part_NZ_JMFO01000006.1
G900106765	G900106765.part_FNNG01000005.1
G001995095	G001995095.part_NZ_MTSD02000005.1
G000576595	G000576595.part_NZ_AWSA01000008.1
G000445145	G000445145.part_NZ_ATIB01000027.1
G001499755	G001499755.part_NZ_CVIV01000008.1
G001422605	G001422605.part_NZ_LMLK01000004.1
G000297775	G000297775.part_NZ_JH815514.1
G000445145	G000445145.part_NZ_ATIB01000062.1
G000487995	G000487995.part_NZ_KI530573.1
G000424205	G000424205.part_NZ_KE384149.1
G900114835	G900114835.part_FOUJ01000005.1
G000286115	G000286115.part_NZ_ALAD01000013.1
G001315985	G001315985.part_BBBI01000003.1
G001812395	G001812395.part_NZ_KV808731.1
G000382245	G000382245.part_NZ_KB907865.1
G000717335	G000717335.part_NZ_JNYZ01000013.1
G000382125	G000382125.part_NZ_KB907553.1
G000423645	G000423645.part_NZ_AUIJ01000007.1
G000741765	G000741765.part_NZ_JGZU01000003.1
G000430745	G000430745.part_NZ_KE387232.1
G000444565	G000444565.part_NZ_APBU01000047.1
G000179775	G000179775.part_NZ_AEEB01000022.1
G900089455	G900089455.part_NZ_FLRC01000056.1
G001001285	G001001285.part_LCKG01000003.1
G001774335	G001774335.part_MEZR01000003.1
G000424365	G000424365.part_NZ_AUJT01000005.1
G001049895	G001049895.part_NZ_CVPE01000006.1
G000220545	G000220545.part_NZ_AFPL01000054.1
G001779925	G001779925.part_MFEK01000014.1
G001570425	G001570425.part_NZ_BCSX01000034.1
G000684975	G000684975.part_NZ_BAXZ01000004.1
G001484985	G001484985.part_NZ_BCLZ01000020.1
G000336655	G000336655.part_NZ_AOLZ01000056.1
G000336655	G000336655.part_NZ_AOLZ01000013.1
G000300855	G000300855.part_NZ_ALJF01000014.1
G000225525	G000225525.part_NZ_AGBF01000007.1
G900129845	G900129845.part_NZ_FQXB01000006.1
G001438805	G001438805.part_NZ_JQCF01000003.1
G001790445	G001790445.part_MGCQ01000001.1
G900112935	G900112935.part_FONM01000002.1
G000425585	G000425585.part_NZ_AUDS01000022.1
G001292625	G001292625.part_NZ_LAJH01000026.1
G000337675	G000337675.part_NZ_AOIB01000026.1
G000686845	G000686845.part_NZ_JMLS01000001.1
G001508335	G001508335.part_LGFX01000006.1
G000719275	G000719275.part_NZ_JOFP01000010.1
G000220585	G000220585.part_NZ_AFOE01000049.1
G000336915	G000336915.part_NZ_AOMD01000011.1
G001469845	G001469845.part_NZ_LNOS01000036.1
G000934435	G000934435.part_NZ_JXIJ01000036.1
G000445145	G000445145.part_NZ_ATIB01000086.1
G000934435	G000934435.part_NZ_JXIJ01000073.1
G900102125	G900102125.part_FNAZ01000010.1
G000684975	G000684975.part_NZ_BAXZ01000020.1
G000188155	G000188155.part_NZ_KE124773.1
G001403775	G001403775.part_NZ_CYUG01000013.1
G001312505	G001312505.part_NZ_BBDW01000001.1
G001624625	G001624625.part_NZ_LQXX01000006.1
G000430525	G000430525.part_NZ_KE387156.1
G000717475	G000717475.part_NZ_JPIK01000006.1
G000576595	G000576595.part_NZ_AWSA01000011.1
G000422425	G000422425.part_NZ_AULT01000015.1
G000214595	G000214595.part_NZ_AFIG01000003.1
G001649505	G001649505.part_NZ_LVYG01000007.1
G000733775	G000733775.part_NZ_JPOE01000002.1
G000312365	G000312365.part_NZ_HG003686.1
G000437435	G000437435.part_FR899628.1
G000519205	G000519205.part_NZ_JAFB01000035.1
G000445105	G000445105.part_NZ_ATDP01000107.1
G000436435	G000436435.part_FR885653.1
G001469845	G001469845.part_NZ_LNOS01000012.1
G000220585	G000220585.part_NZ_AFOE01000028.1
G900115085	G900115085.part_FOVF01000003.1
G002002665	G002002665.part_NZ_MPOK01000008.1
G900107845	G900107845.part_FNRM01000005.1
G000482805	G000482805.part_NZ_KI519501.1
G900101015	G900101015.part_FNFZ01000005.1
G000686845	G000686845.part_NZ_JMLS01000025.1
G000377885	G000377885.part_NZ_KB898765.1
G002006995	G002006995.part_NZ_MRUL01000015.1
G900100715	G900100715.part_FNCA01000004.1
G001424305	G001424305.part_NZ_LMPD01000007.1
G000338775	G000338775.part_NC_020247.1
G001313205	G001313205.part_BBFK01000004.1
G000934435	G000934435.part_NZ_JXIJ01000153.1
G000153065	G000153065.part_NZ_CH724158.1
G000213975	G000213975.part_NZ_GL892076.1
G000981645	G000981645.part_LAQC01000010.1
G001431485	G001431485.part_NZ_LDJM01000007.1
G900130035	G900130035.part_NZ_FQXQ01000002.1
G001074355	G001074355.part_NZ_JUTO01000011.1
G000525955	G000525955.part_NZ_AODJ01000002.1
G000337475	G000337475.part_NZ_AOIT01000017.1
G000017265	G000017265.part_NC_011143.1
G000220585	G000220585.part_NZ_AFOE01000050.1
G000686845	G000686845.part_NZ_KK366026.1
G000745975	G000745975.part_NZ_JQKJ01000012.1
G000519205	G000519205.part_NZ_JAFB01000008.1
G000741785	G000741785.part_NZ_JGZP01000011.1
G000719275	G000719275.part_NZ_JOFP01000009.1
G900101965	G900101965.part_FNAP01000003.1
G000497755	G000497755.part_NZ_AYOD01000016.1
G000686845	G000686845.part_NZ_JMLS01000018.1
G000377645	G000377645.part_NZ_KB898472.1
G000717335	G000717335.part_NZ_JNYZ01000037.1
G900116115	G900116115.part_FOZP01000002.1
G000425585	G000425585.part_NZ_KE384402.1
G001568365	G001568365.part_NZ_JQRJ01000054.1
G900116265	G900116265.part_NZ_FOZU01000008.1
G000312545	G000312545.part_NZ_HE997543.1
G001676225	G001676225.part_NZ_LZEY01000060.1
G000220545	G000220545.part_NZ_AFPL01000008.1
G000436215	G000436215.part_FR884996.1
G001708185	G001708185.part_NZ_MDDN01000014.1
G001720395	G001720395.part_NZ_MDTU01000003.1
G001894865	G001894865.part_NZ_BCXA01000012.1
G900129805	G900129805.part_NZ_FQWY01000002.1
G001042635	G001042635.part_NZ_AP012331.1
G001830015	G001830015.part_MICX01000003.1
G000337475	G000337475.part_NZ_AOIT01000034.1
