,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
17,G001307035,10069,8,0.0008,3362,3326,10,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,f__Micrococcaceae (UID1623),39,457,218,99.08,0.98,0.0,3639179,1850,10,34,869527,454897,363917,106980,1799029,716636,64.8,2.02,90.6,11,3366,3,451,3,0,0,0,,10,10,8,8,7,7,3639179,3639179,3634978,3634978,3619101,3619101,10,1799029,3639179,64.8,869527,417744,2,3,50.84
18,G001513065,10069,2,0.0002,1969,1943,142,family,0.98,0.96,0.11,0.04,0.08,0.98,0.95,True,c__Clostridia (UID1118),387,223,124,91.94,2.04,80.0,2035642,753,142,156,21945,21747,14335,13044,61524,61524,42.41,2.25,86.92,11,1968,11,207,5,0,0,0,,142,137,104,78,26,3,2035642,2031888,1941890,1753698,899329,170123,142,61524,2035642,42.41,21945,14007,32,60,36.99
19,G000501615,10069,2,0.0002,1620,1400,255,genus,1.0,0.86,0.97,0.15,0.35,0.91,0.78,False,f__Spirochaetaceae (UID2512),56,235,124,91.37,0.0,0.0,1177016,3,295,295,7837,7837,3989,3989,29410,29410,28.04,3.25,81.77,11,1643,15,220,0,0,0,0,,295,235,68,25,2,0,1177016,1133235,732994,416802,55698,0,295,29410,1177016,28.04,7837,3335,45,105,0.25
20,G000430525,10069,6,0.0006,2415,2334,83,family,0.98,0.95,0.48,0.03,0.07,0.96,0.91,False,g__Prevotella (UID2724),55,567,296,98.99,0.05,0.0,2800206,9361,84,93,60710,54867,33335,30009,224786,224786,44.12,4.15,85.88,11,2506,3,563,1,0,0,0,,84,84,65,55,35,17,2800206,2800206,2753583,2671230,2331260,1699733,84,224786,2800206,44.12,60710,35471,12,28,334.3
21,G000011185,10069,5,0.0005,1623,1570,1,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True,p__Euryarchaeota (UID3),148,186,123,97.97,0.0,0.0,1584804,0,1,1,1584804,1584804,1584804,1584804,1584804,1584804,39.92,0.0,87.22,11,1635,3,183,0,0,0,0,,1,1,1,1,1,1,1584804,1584804,1584804,1584804,1584804,1584804,1,1584804,1584804,39.92,1584804,1584804,1,1,0.0
22,G000017265,10069,0,0.0,4314,4119,2,kingdom,1.0,0.95,0.0,0.0,0.0,0.94,0.9,True,c__Alphaproteobacteria (UID3422),26,529,308,100.0,0.0,0.0,4379231,0,2,2,3996255,3996255,2189615,2189615,3996255,3996255,71.1,1.82,91.23,11,4273,0,529,0,0,0,0,,2,2,2,2,2,2,4379231,4379231,4379231,4379231,4379231,4379231,2,3996255,4379231,71.1,3996255,3996255,1,1,0.0
23,G000786005,10069,1,0.0001,1246,1202,78,kingdom,1.0,0.96,0.0,0.0,0.0,0.97,0.94,True,k__Bacteria (UID2993),77,301,197,96.7,1.35,100.0,1237960,39691,81,498,95161,9386,15283,2406,189281,55189,39.02,2.26,81.66,11,1164,11,284,6,0,0,0,,81,56,18,15,11,8,1237960,1219503,1127239,1105456,1044283,944380,81,189281,1237960,39.02,95161,72262,5,8,3206.16
24,G000026125,10069,1,0.0001,3228,3167,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,o__Burkholderiales (UID4002),107,571,250,99.92,0.6,0.0,3424307,0,1,1,3424307,3424307,3424307,3424307,3424307,3424307,54.29,0.0,88.35,11,3263,1,567,3,0,0,0,,1,1,1,1,1,1,3424307,3424307,3424307,3424307,3424307,3424307,1,3424307,3424307,54.29,3424307,3424307,1,1,0.0
25,G001785545,10069,2,0.0002,485,477,23,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True,k__Bacteria (UID2495),2993,143,89,48.62,0.0,0.0,474981,57,23,26,22316,21847,20651,18266,107580,107580,37.01,1.26,91.11,11,497,64,79,0,0,0,0,,23,23,23,16,3,1,474981,474981,474981,422496,174675,107580,23,107580,474981,37.01,22316,18237,6,12,12.0
26,G001795545,10069,1,0.0001,2620,2587,14,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,c__Deltaproteobacteria (UID3216),83,247,155,94.84,1.94,0.0,2742638,37,14,16,378778,282466,195902,171412,998597,998597,55.43,1.81,90.78,11,2621,8,236,3,0,0,0,,14,14,14,13,11,11,2742638,2742638,2742638,2736829,2709930,2709930,14,998597,2742638,55.43,378778,196713,2,5,1.35
27,G001312505,10069,7,0.0007,3893,3786,45,family,0.96,0.93,0.17,0.11,0.26,0.94,0.88,True,f__Lachnospiraceae (UID1256),33,333,171,96.15,1.46,0.0,3259449,0,45,45,226033,226033,72432,72432,559461,559461,41.16,4.48,86.54,11,3926,9,321,3,0,0,0,,45,36,26,25,20,18,3259449,3253363,3232481,3225729,3142749,3063631,45,559461,3259449,41.16,226033,117126,5,11,0.0
28,G001305655,10069,4,0.0004,2320,2237,2,order,0.98,0.95,0.54,0.03,0.07,0.98,0.93,False,f__Halobacteriaceae (UID84),60,359,235,98.23,1.06,0.0,2253500,0,2,2,2129244,2129244,1126750,1126750,2129244,2129244,62.76,5.22,87.74,11,2307,5,351,3,0,0,0,,2,2,2,2,2,2,2253500,2253500,2253500,2253500,2253500,2253500,2,2129244,2253500,62.76,2129244,2129244,1,1,0.0
29,G002003465,10069,2,0.0002,3296,3034,175,family,0.96,0.88,0.13,0.41,1.31,0.65,0.58,True,p__Firmicutes (UID242),830,244,129,98.45,0.28,50.0,3356119,0,181,181,60783,60783,18542,18542,183846,183846,51.78,5.75,80.22,11,3322,2,240,2,0,0,0,,181,164,79,65,41,17,3356119,3341796,3167534,3073533,2632148,1754967,181,183846,3356119,51.78,60783,28209,16,37,0.72
30,G001798315,10069,1,0.0001,1896,1858,97,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,k__Bacteria (UID3187),2258,190,119,81.76,0.0,0.0,1870700,10565,97,360,23764,9773,19285,5167,97193,45175,37.88,1.14,92.72,11,1895,33,157,0,0,0,0,,97,97,96,73,21,4,1870700,1870700,1865716,1699528,881026,289432,97,97193,1870700,37.88,23764,14627,24,49,564.76
31,G000423645,10069,6,0.0006,3468,3448,67,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.99,True,f__Rhodobacteraceae (UID3361),46,654,332,99.55,0.3,100.0,3554982,1101,67,68,146200,146200,53059,52262,475853,475853,63.83,3.83,89.54,11,3470,2,651,1,0,0,0,,67,67,47,41,33,20,3554982,3554982,3495266,3444403,3312550,2832287,67,475853,3554982,63.83,146200,52818,8,17,30.97
32,G000245175,10069,2,0.0002,2807,2746,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.92,True,c__Thermoprotei (UID147),54,217,168,99.4,0.0,0.0,2601131,0,1,1,2601131,2601131,2601131,2601131,2601131,2601131,35.08,0.0,88.11,11,2937,1,216,0,0,0,0,,1,1,1,1,1,1,2601131,2601131,2601131,2601131,2601131,2601131,1,2601131,2601131,35.08,2601131,2601131,1,1,0.0
33,G000220235,10069,2,0.0002,2255,2137,24,kingdom,1.0,0.95,0.0,0.0,0.0,0.99,0.94,True,g__Prevotella (UID2724),55,567,296,99.32,0.0,0.0,2669193,56963,24,86,2083988,90849,111216,30374,2083988,264441,42.6,6.87,84.02,11,2244,2,565,0,0,0,0,,24,17,2,2,2,2,2669193,2663964,2636975,2636975,2636975,2636975,24,2083988,2669193,42.6,2083988,2083988,1,1,2134.09
34,G000934435,10069,3,0.0003,7026,6473,174,class,0.99,0.91,0.99,0.19,0.44,0.94,0.86,False,p__Cyanobacteria (UID2193),65,520,415,74.6,5.53,6.06,8560182,1361646,174,1383,196693,8454,49196,5205,1015353,45753,44.7,19.3,65.65,11,8013,128,359,33,0,0,0,,174,174,174,88,44,36,8560182,8560182,8560182,7827048,7182241,6862173,174,1015353,8560182,44.7,196693,69230,13,29,15908.22
35,G001512545,10069,3,0.0003,2105,2067,95,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,p__Firmicutes (UID239),1324,176,102,94.12,1.01,0.0,2204711,4547,95,161,53314,32265,23207,13665,128043,128041,48.74,2.45,87.06,11,2100,7,167,2,0,0,0,,95,85,65,52,32,15,2204711,2196977,2139411,2034621,1719820,1135426,95,128043,2204711,48.74,53314,29107,15,30,206.24
36,G000518105,10069,1,0.0001,1730,1635,64,kingdom,1.0,0.95,0.0,0.0,0.0,0.96,0.91,True,o__Rhizobiales (UID3480),124,705,226,99.96,0.09,0.0,1787929,1785,64,68,141204,141204,27936,26266,230342,230342,38.9,4.37,78.99,11,1663,1,703,1,0,0,0,,64,64,30,22,13,9,1787929,1787929,1723385,1669598,1518477,1339779,64,230342,1787929,38.9,141204,49281,5,10,99.84
37,G001775785,10069,1,0.0001,614,555,39,kingdom,1.0,0.9,0.62,0.02,0.05,0.63,0.57,False,k__Bacteria (UID2495),2993,143,89,63.31,6.18,0.0,580550,465,39,51,17387,15805,14885,11374,67155,38731,39.16,2.34,91.5,11,634,51,83,9,0,0,0,,39,39,39,21,5,1,580550,580550,580550,455603,210766,67155,39,67155,580550,39.16,17387,10592,10,20,80.1
38,G900110675,10069,2,0.0002,1921,1883,32,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,o__Lactobacillales (UID355),490,334,183,99.18,0.27,0.0,1958489,455,32,34,169536,168603,61202,57589,458317,458317,39.26,4.84,88.56,11,1878,2,331,1,0,0,0,,32,32,25,20,12,10,1958489,1958489,1941563,1902273,1768122,1703762,32,458317,1958489,39.26,169536,107614,4,8,23.23
39,G001795155,10069,0,0.0,2412,2071,269,genus,0.51,0.44,0.28,0.46,1.75,0.6,0.26,True,k__Bacteria (UID1452),924,163,110,41.94,2.73,0.0,2168217,140421,269,2020,8070,1873,8060,1003,32775,9942,56.57,1.48,73.93,11,2742,83,76,4,0,0,0,,269,269,255,53,1,0,2168217,2168217,2101293,729691,32775,0,269,32775,2168217,56.57,8070,6219,93,170,6476.34
40,G001817505,10069,4,0.0004,951,884,41,phylum,0.87,0.81,0.49,0.12,0.29,0.91,0.74,False,k__Bacteria (UID1452),924,161,108,65.28,0.0,0.0,973170,395,41,49,34501,34501,23735,19852,120038,120038,39.5,1.92,87.5,11,968,42,119,0,0,0,0,,41,41,41,30,11,4,973170,973170,973170,895413,580063,313305,41,120038,973170,39.5,34501,17589,9,19,40.59
41,G001632145,10069,3,0.0003,2641,2438,27,genus,0.97,0.9,0.12,0.04,0.09,0.93,0.84,True,p__Cyanobacteria (UID2143),129,471,367,100.0,0.14,0.0,2548000,0,27,27,391365,391365,94370,94370,800664,800664,50.26,2.88,83.15,11,2646,0,470,1,0,0,0,,27,22,18,16,14,10,2548000,2543531,2533317,2521518,2494829,2328143,27,800664,2548000,50.26,391365,100444,3,5,0.0
42,G000741785,10069,0,0.0,2253,2213,39,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,f__Bifidobacteriaceae (UID1462),65,476,217,99.71,2.34,16.67,2812864,0,40,40,134974,134974,70321,70321,347637,347637,65.34,1.84,86.39,11,2230,2,464,9,1,0,0,,40,40,39,33,27,18,2812864,2812864,2810913,2775266,2682900,2339357,40,347637,2812864,65.34,134974,85715,7,14,0.6
43,G001793005,10069,0,0.0,1233,1206,34,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID1453),901,171,117,51.42,0.85,0.0,1125654,266,34,40,44405,44283,33107,28134,98759,98759,37.81,2.0,94.01,11,1268,63,107,1,0,0,0,,34,34,34,27,19,6,1125654,1125654,1125654,1075798,942912,441747,34,98759,1125654,37.81,44405,34595,9,17,23.63
44,G000992925,10069,1,0.0001,1138,1054,83,kingdom,0.98,0.91,0.0,0.0,0.0,0.86,0.79,True,k__Bacteria (UID1452),924,161,108,53.76,1.85,0.0,962353,600,83,97,13131,11728,11594,9914,57597,57597,37.49,2.59,91.91,11,1162,67,91,3,0,0,0,,83,83,83,37,4,1,962353,962353,962353,628068,142307,57597,83,57597,962353,37.49,13131,8322,24,48,62.35
45,G000379225,10069,0,0.0,2410,2365,223,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,p__Proteobacteria (UID3214),2231,190,119,82.7,6.3,22.22,2446432,1869,223,229,24347,23101,10970,10674,100136,100136,47.66,4.33,90.21,11,2419,30,151,9,0,0,0,,223,223,106,73,27,10,2446432,2446432,2184739,1938299,1214253,638238,223,100136,2446432,47.66,24347,11572,28,64,76.4
46,G001918745,10069,0,0.0,1851,1758,66,kingdom,1.0,0.95,0.0,0.0,0.0,0.98,0.93,True,k__Archaea (UID2),207,149,107,91.12,0.93,0.0,1775681,388,66,69,36466,36466,26904,25728,127837,123970,51.8,0.79,87.89,11,2046,13,134,2,0,0,0,,66,66,66,56,26,4,1775681,1775681,1775681,1683771,1192177,368426,66,127837,1775681,51.8,36466,23606,17,32,21.85
47,G000993015,10069,7,0.0007,921,916,24,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,k__Bacteria (UID203),5449,104,58,81.17,1.72,0.0,921119,514,24,31,70709,59130,38379,29696,117143,117143,36.97,4.3,85.11,11,928,13,90,1,0,0,0,,24,24,24,16,11,9,921119,921119,921119,866539,773545,701933,24,117143,921119,36.97,70709,52130,5,9,55.8
48,G001916215,10069,0,0.0,1987,1931,73,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True,k__Bacteria (UID2328),3167,126,75,97.33,0.0,0.0,2046136,2138,73,88,47497,39171,28029,23227,151287,137900,29.77,1.58,89.33,11,1943,2,124,0,0,0,0,,73,73,62,49,30,13,2046136,2046136,2008987,1911184,1573136,954397,73,151287,2046136,29.77,47497,25845,15,29,104.49
49,G000192965,10069,2,0.0002,1772,1745,53,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True,o__Pseudomonadales (UID4679),87,674,364,98.28,0.37,0.0,1814430,2,53,53,73658,73658,34234,34234,143531,143531,41.7,2.56,86.14,11,1756,8,664,2,0,0,0,,53,49,41,35,26,14,1814430,1811334,1787030,1740184,1583459,1168533,53,143531,1814430,41.7,73658,35798,10,19,0.11
50,G000219045,10069,0,0.0,1964,1960,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,o__Thiotrichales (UID4410),43,675,243,99.27,0.06,0.0,2035931,0,1,1,2035931,2035931,2035931,2035931,2035931,2035931,32.87,0.0,92.04,11,1961,5,669,1,0,0,0,,1,1,1,1,1,1,2035931,2035931,2035931,2035931,2035931,2035931,1,2035931,2035931,32.87,2035931,2035931,1,1,0.0
51,G001418495,10069,0,0.0,5206,5030,741,kingdom,1.0,0.97,0.0,0.0,0.0,0.77,0.75,True,o__Actinomycetales (UID1696),455,315,190,96.67,0.53,0.0,5542997,1196,743,767,11466,11424,7460,7225,52611,52611,71.4,2.7,86.82,11,5197,9,305,1,0,0,0,,743,742,375,193,22,1,5542997,5542013,4551749,3230889,702573,52611,743,52611,5542997,71.4,11466,6631,151,307,21.58
52,G001812395,10069,0,0.0,1672,1645,15,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.93,True,f__Actinomycetaceae (UID1531),42,420,211,99.05,0.47,0.0,1922812,900,15,24,302353,203088,128187,80079,813948,373847,56.25,1.89,90.58,11,1664,2,417,1,0,0,0,,15,11,9,9,8,7,1922812,1921678,1915456,1915456,1904319,1874726,15,813948,1922812,56.25,302353,191611,2,4,46.81
53,G000196275,10069,0,0.0,3093,2961,3,kingdom,1.0,0.96,0.0,0.0,0.0,0.94,0.9,True,k__Bacteria (UID2142),169,316,236,99.58,0.0,0.0,3247018,1,3,3,2467205,2467205,1082339,1082339,2467205,2467205,66.47,0.46,89.81,11,3156,1,315,0,0,0,0,,3,3,3,3,3,3,3247018,3247018,3247018,3247018,3247018,3247018,3,2467205,3247018,66.47,2467205,2467205,1,1,0.03
54,G000011645,10069,0,0.0,4266,4220,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,g__Bacillus (UID864),93,711,241,98.82,0.0,0.0,4222597,0,1,1,4222597,4222597,4222597,4222597,4222597,4222597,46.19,0.0,87.47,11,4295,4,707,0,0,0,0,,1,1,1,1,1,1,4222597,4222597,4222597,4222597,4222597,4222597,1,4222597,4222597,46.19,4222597,4222597,1,1,0.0
55,G000214595,10069,0,0.0,3127,3099,3,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4267),119,543,284,100.0,0.7,0.0,3261960,0,3,3,2266798,2266798,1087320,1087320,2266798,2266798,43.37,1.26,92.08,11,3120,0,540,3,0,0,0,,3,3,3,3,3,3,3261960,3261960,3261960,3261960,3261960,3261960,3,2266798,3261960,43.37,2266798,825287,1,2,0.09
56,G000312545,10069,3,0.0003,1761,1674,34,kingdom,1.0,0.95,0.0,0.0,0.0,0.98,0.93,True,o__Rhizobiales (UID3451),237,514,245,98.88,0.61,50.0,2002317,45439,41,99,1115077,83594,48837,19766,1115077,238644,38.61,3.97,71.94,11,1692,4,508,2,0,0,0,,41,16,7,7,6,6,2002317,1990332,1976499,1976499,1966397,1966397,41,1115077,2002317,38.61,1115077,272738,1,3,2269.32
57,G001830805,10069,0,0.0,2351,2320,15,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID3060),138,337,245,99.59,1.02,0.0,2360463,262,15,24,311526,259124,157364,98341,381608,381608,34.49,1.36,94.35,11,2354,1,333,3,0,0,0,,15,15,11,10,10,10,2360463,2360463,2350842,2343057,2343057,2343057,15,381608,2360463,34.49,311526,259124,4,6,11.1
58,G000444645,10069,2,0.0002,1506,1454,93,genus,0.91,0.87,0.06,0.17,0.43,0.94,0.82,True,f__Pasteurellaceae (UID4932),83,767,440,63.93,0.57,66.67,1498510,0,94,94,46667,46667,15941,15941,217864,217864,39.88,3.41,87.24,11,1486,267,497,3,0,0,0,,94,90,43,33,16,7,1498510,1494658,1394043,1328696,1053579,744709,94,217864,1498510,39.88,46667,19166,8,20,0.0
59,G000204255,10069,1,0.0001,1001,993,2,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,g__Chlamydophila (UID3014),29,613,47,97.89,0.12,0.0,1179220,0,2,2,1171667,1171667,589610,589610,1171667,1171667,39.02,4.34,90.54,11,1001,6,606,1,0,0,0,,2,2,2,1,1,1,1179220,1179220,1179220,1171667,1171667,1171667,2,1171667,1179220,39.02,1171667,1171667,1,1,0.0
